Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IP-001 (Login),Chrome 76.0.3809.100,Login,2019-08-26 18:26:05,2019-08-26 18:27:49,1m - 44.063s,PASSED
,,,,,,
Test Cases/IP-001 (Login),Chrome 76.0.3809.100,,2019-08-26 18:26:05,2019-08-26 18:27:44,1m - 38.187s,PASSED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,2019-08-26 18:26:06,2019-08-26 18:26:29,22.516s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:26:29,2019-08-26 18:26:30,1.130s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Email_email""), ""didinonpqcms@gmail.com"")",Chrome 76.0.3809.100,,2019-08-26 18:26:30,2019-08-26 18:26:52,21.764s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:26:52,2019-08-26 18:26:53,1.076s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/4.png"")",Chrome 76.0.3809.100,,2019-08-26 18:26:53,2019-08-26 18:26:59,6.195s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Password_password""), ""testing12345"")",Chrome 76.0.3809.100,,2019-08-26 18:26:59,2019-08-26 18:27:20,20.680s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:27:20,2019-08-26 18:27:21,1.077s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/5.png"")",Chrome 76.0.3809.100,,2019-08-26 18:27:21,2019-08-26 18:27:27,5.959s,PASSED
"click(findTestObject(""Page_iPropio - Login/button_Login Now""))",Chrome 76.0.3809.100,,2019-08-26 18:27:27,2019-08-26 18:27:37,10.406s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:27:37,2019-08-26 18:27:38,1.086s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/7.png"")",Chrome 76.0.3809.100,,2019-08-26 18:27:38,2019-08-26 18:27:44,5.478s,PASSED
