Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IP-001 (Login),Chrome 76.0.3809.100,Login,2019-08-26 19:00:49,2019-08-26 19:02:29,1m - 40.227s,PASSED
,,,,,,
Test Cases/IP-001 (Login),Chrome 76.0.3809.100,,2019-08-26 19:00:49,2019-08-26 19:02:23,1m - 34.315s,PASSED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,2019-08-26 19:00:50,2019-08-26 19:01:09,19.224s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 19:01:09,2019-08-26 19:01:10,1.188s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Email_email""), ""didinonpqcms@gmail.com"")",Chrome 76.0.3809.100,,2019-08-26 19:01:10,2019-08-26 19:01:31,21.547s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 19:01:31,2019-08-26 19:01:33,1.149s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/4.png"")",Chrome 76.0.3809.100,,2019-08-26 19:01:33,2019-08-26 19:01:38,5.842s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Password_password""), ""testing12345"")",Chrome 76.0.3809.100,,2019-08-26 19:01:38,2019-08-26 19:01:59,20.927s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 19:01:59,2019-08-26 19:02:01,1.142s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/5.png"")",Chrome 76.0.3809.100,,2019-08-26 19:02:01,2019-08-26 19:02:06,5.673s,PASSED
"click(findTestObject(""Page_iPropio - Login/button_Login Now""))",Chrome 76.0.3809.100,,2019-08-26 19:02:06,2019-08-26 19:02:17,10.412s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 19:02:17,2019-08-26 19:02:18,1.149s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/7.png"")",Chrome 76.0.3809.100,,2019-08-26 19:02:18,2019-08-26 19:02:23,5.567s,PASSED
